num_l	meter	ces_3	ces_4	ces_5	ces_6	ces_7
188	10	3NA	4ma	5ma	6NA	7ma
189	9	3NA	4NA	5NA	6NA	7NA
190	11	3NA	4épC	5NA	6NA	7NA
191	10	3NA	4ma	5NA	6ma	7NA
192	10	3ma	4ma	5ej	6ly	7ej
193	10	3NA	4ma	5NA	6NA	7ma
194	11	3NA	4épC	5NA	6NA	7NA
195	11	3NA	4épC	5NA	6NA	7épC
196	10	3NA	4ma	5NA	6ma	7ma
197	12	3NA	4NA	5NA	6NA	7NA
198	11	3NA	4épC	5NA	6NA	7NA
199	10	3NA	4ma	5NA	6NA	7ma
200	10	3NA	4ma	5NA	6ej	7ly
201	12	3NA	4NA	5NA	6NA	7NA
202	9	3NA	4NA	5NA	6NA	7NA
203	12	3NA	4NA	5NA	6NA	7NA
204	10	3NA	4ma	5NA	6ma	7NA
205	10	3NA	4ma	5NA	6NA	7NA
206	11	3NA	4NA	5NA	6épC	7NA
207	11	3NA	4épC	5NA	6NA	7NA
208	11	3NA	4épC	5NA	6NA	7NA
209	10	3NA	4ma	5ma	6épV	7NA
210	10	3NA	4ma	5NA	6ma	7ma
211	10	3NA	4ma	5NA	6ma	7NA
212	11	3NA	4épC	5NA	6NA	7NA
213	11	3NA	4épC	5NA	6NA	7NA
214	10	3NA	4ma	5ma	6ej	7ly
215	10	3NA	4ma	5NA	6NA	7ma
216	10	3NA	4ma	5ma	6ej	7ly
217	12	3NA	4NA	5NA	6NA	7NA
218	10	3NA	4ma	5NA	6ma	7NA
219	10	3NA	4ma	5ma	6ma	7NA
220	10	3NA	4ma	5ma	6ma	7NA
221	11	3NA	4épC	5NA	6NA	7NA
222	10	3ma	4ma	5NA	6NA	7ma
223	10	3ma	4ma	5NA	6NA	7NA
224	10	3NA	4ma	5ma	6ma	7NA
225	10	3NA	4ma	5NA	6ma	7NA
226	10	3ma	4NA	5NA	6NA	7épV
227	10	3NA	4ma	5NA	6NA	7NA
228	10	3NA	4ma	5NA	6ej	7ly
229	10	3ma	4NA	5NA	6ma	7NA
230	10	3NA	4ma	5NA	6NA	7NA
231	10	3NA	4ma	5NA	6NA	7NA
232	10	3NA	4ma	5NA	6NA	7ma
233	11	3NA	4épC	5NA	6NA	7NA
234	10	3NA	4ma	5NA	6NA	7ma
235	11	3NA	4épC	5NA	6NA	7NA
236	11	3NA	4épC	5NA	6NA	7NA
237	11	3NA	4épC	5NA	6NA	7NA
238	10	3NA	4épV	5ej	6ly	7ma
239	9	3NA	4NA	5NA	6NA	7NA
240	10	3NA	4ma	5NA	6NA	7NA
241	10	3ly	4ma	5ma	6ma	7ma
242	10	3ma	4ma	5NA	6NA	7NA
243	10	3NA	4ma	5ej	6ly	7NA
244	10	3NA	4ma	5NA	6ma	7ma
245	10	3ma	4ma	5NA	6ma	7ma
246	10	3NA	4ma	5NA	6NA	7ma
247	10	3ma	4ma	5NA	6NA	7ma
248	11	3NA	4épC	5NA	6NA	7NA
249	10	3ma	4NA	5NA	6NA	7ej
250	9	3NA	4NA	5NA	6NA	7NA
251	11	3NA	4épC	5NA	6NA	7NA
252	10	3NA	4ma	5ma	6NA	7ma
253	10	3NA	4NA	5ma	6NA	7ma
254	11	3NA	4épC	5NA	6NA	7NA
255	11	3NA	4épC	5NA	6NA	7épC
256	11	3NA	4épC	5NA	6NA	7NA
257	11	3NA	4épC	5NA	6NA	7NA
258	11	3NA	4épC	5NA	6NA	7NA
259	11	3NA	4épC	5NA	6NA	7NA
260	10	3NA	4ma	5NA	6NA	7ma
261	10	3NA	4ma	5NA	6NA	7ma
262	11	3NA	4épC	5NA	6NA	7NA
263	11	3NA	4épC	5NA	6NA	7épC
264	11	3NA	4épC	5NA	6NA	7NA
265	11	3NA	4épC	5NA	6NA	7épC
266	11	3NA	4épC	5NA	6NA	7épC
267	11	3NA	4épC	5NA	6NA	7NA
268	10	3ly	4ma	5NA	6NA	7NA
269	10	3NA	4ma	5NA	6NA	7ej
270	11	3NA	4épC	5NA	6NA	7NA
271	10	3NA	4ma	5NA	6ma	7NA
272	9	3NA	4NA	5NA	6NA	7NA
273	10	3NA	4ma	5ma	6ma	7NA
274	11	3NA	4épC	5NA	6NA	7NA
275	11	3NA	4épC	5NA	6NA	7NA
276	10	3NA	4ma	5NA	6NA	7NA
277	10	3NA	4ma	5ma	6ma	7ma
278	11	3NA	4NA	5NA	6épC	7NA
279	11	3NA	4épC	5NA	6NA	7NA
280	11	3NA	4épC	5NA	6NA	7NA
281	11	3NA	4épC	5NA	6NA	7NA
282	10	3NA	4ma	5NA	6NA	7NA
283	10	3NA	4ma	5NA	6NA	7ma
284	11	3NA	4épC	5NA	6NA	7NA
285	10	3NA	4ma	5ma	6ma	7ma
286	11	3NA	4épC	5NA	6NA	7NA
287	10	3NA	4ma	5NA	6NA	7ma
288	11	3NA	4épC	5NA	6NA	7NA
289	10	3NA	4ma	5ma	6ma	7NA
290	11	3NA	4épC	5NA	6NA	7NA
291	10	3NA	4ma	5NA	6ma	7NA
292	11	3NA	4épC	5NA	6NA	7NA
293	10	3ly	4ma	5ma	6ma	7ej
294	10	3ly	4ma	5ej	6ly	7NA
295	10	3ej	4ly	5NA	6NA	7NA
296	11	3NA	4épC	5NA	6NA	7NA
297	10	3NA	4ma	5NA	6ej	7ly
298	10	3NA	4ma	5ma	6NA	7ma
299	11	3NA	4épC	5NA	6NA	7NA
300	11	3NA	4épC	5NA	6NA	7NA
301	10	3NA	4ma	5NA	6NA	7ma
302	11	3NA	4épC	5NA	6NA	7épC
303	10	3NA	4épV	5NA	6NA	7NA
304	10	3ej	4ly	5ej	6ly	7NA
305	11	3NA	4épC	5NA	6NA	7NA
306	10	3ly	4ma	5NA	6NA	7ma
307	11	3NA	4épC	5NA	6NA	7NA
308	11	3NA	4épC	5NA	6NA	7NA
309	11	3NA	4épC	5NA	6NA	7épC
310	10	3NA	4ma	5NA	6ma	7ma
311	10	3NA	4ma	5NA	6NA	7NA
312	11	3NA	4NA	5NA	6NA	7NA
313	11	3NA	4épC	5NA	6NA	7NA
314	11	3NA	4épC	5NA	6NA	7NA
315	11	3NA	4épC	5NA	6NA	7NA
316	11	3NA	4épC	5NA	6NA	7NA
317	10	3NA	4ma	5NA	6NA	7NA
318	10	3NA	4ma	5NA	6NA	7NA
